
'tom' @ '/var/www/c15410232.com/html/internal/' : 'CREATE' by 'root' @ '2019-03-22 14:52:09'
'index.html' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-23 22:15:24'
'index.html' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-23 22:29:43'
'index.html' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-23 22:29:43'
'tom' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 10:13:46'
'tom' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-24 10:13:46'
'tom' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 10:14:55'
'tom' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 10:17:45'
'tom' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 10:18:03'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 10:43:31'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 10:43:44'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 10:55:54'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 10:56:02'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 11:09:42'
'dan' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 11:09:45'
'index.html' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-24 11:11:05'
'htrack' @ '/var/www/c15410232.com/html/dev/' : 'CREATE' by 'dan' @ '2019-03-24 11:25:27'
'htrack' @ '/var/www/c15410232.com/html/dev/' : 'DELETE' by 'dan' @ '2019-03-24 11:25:41'
'index.html' @ '/var/www/c15410232.com/html/dev/' : 'MODIFY' by 'dan' @ '2019-03-24 11:26:02'
